attack,file_name,csv_name,dataset_name,model_name,adv_size,success_rate,L2,L1,Linf,L0,mse,uqi,ergas,sam,scc,vifp,rase,psnrb,magnet_det,squeezer_det,is_succ,cifar_idx
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,1.5556350771721696,10.800034968153224,0.6000000179982653,3072.0,0.000787760577255359,0.9960440687114103,2923.917594534096,0.06134185752116098,0.9623273690190857,0.9293036484905303,417.2762031082132,30.60909811588378,0,1,1,96
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,0.836660371538127,5.400078100711106,0.3000000965361501,3072.0,0.00022786477125726455,0.9992690290669491,1059.3348694628726,0.02728431322307755,0.8502610988638201,1.0199260638546286,153.0494700765768,36.67876874006971,0,0,1,97
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,1.1796430161377651,7.094127866885088,0.40000012224795767,1626.0,0.00045298100440188937,0.9986173626608258,,0.024189553774393857,0.9517529045481372,0.9807705301667499,,25.24254158042926,1,0,1,98
jsma,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,72,0.8470588235294118,1.9339082630123943,18.40003074743585,0.4000001250528822,3071.0,0.0012174482974438856,0.9926817068835433,3200.129214879025,0.05003625661335113,0.9316741060121642,0.9562266359438153,457.39704994634604,26.3724641860667,1,1,1,99
jsma,jsma0.10.2_miss,gen_list_jsma,cifar,conv12,13,0.8470588235294118,6.142878624290847,128.7569109062938,0.9450980392156862,3072.0,0.012283514906500462,0.9465718037128289,13009.026198464657,0.19924017315552559,0.7350909719858016,1.3783687794040353,1867.5318077798017,18.872987246605465,1,1,0,4
jsma,jsma0.10.2_miss,gen_list_jsma,cifar,conv12,13,0.8470588235294118,6.0513903880004705,128.2235740755374,0.6980392156862745,3071.0,0.011920353394526203,0.9448302461370046,13895.234379218578,0.20919931547511808,0.6984214242464907,1.5059271488533554,1967.5524806396684,19.83893183002951,1,1,0,5
jsma,jsma0.10.2_miss,gen_list_jsma,cifar,conv12,13,0.8470588235294118,6.892404732853476,139.88435034706603,0.8745098039215686,3071.0,0.015463946289538094,0.9019099293169776,19072.92779176692,0.26988500393801734,0.5754039857955054,1.0640614114473221,2716.7781458342465,17.927544829009555,1,1,0,7
jsma,jsma0.10.2_miss,gen_list_jsma,cifar,conv12,13,0.8470588235294118,4.787925261582426,104.22357147356459,0.6000000670844433,3072.0,0.007462313903157274,0.9697919878175018,9684.045416071765,0.15078885850184712,0.7185999415587888,1.230538264023487,1386.15952451644,22.256868907407092,1,1,0,19
jsma,jsma0.10.2_miss,gen_list_jsma,cifar,conv12,13,0.8470588235294118,6.077546469231656,126.51376070215129,0.7000000918612761,3072.0,0.012023623400283262,0.9004116391169544,19710.89104568067,0.2716322872318268,0.6914523946145065,1.2581178595461318,2757.9190280869143,19.276883621961666,1,1,0,29
jsma,jsma0.10.2_miss,gen_list_jsma,cifar,conv12,13,0.8470588235294118,6.2397660850421515,126.72747600432668,0.8274509803921568,3070.0,0.01267404973829501,0.8324711420299321,30826.876012741763,0.34736578990494954,0.6712379746842192,0.7758605048903849,4355.413787765072,18.210903949674154,1,1,0,30
