L0,L1,L2,Linf,adv_size,attack,cifar_idx,csv_name,dataset_name,ergas,file_name,is_succ,magnet_det,model_name,mse,psnrb,rase,sam,scc,squeezer_det,success_rate,uqi,vifp
3072.0,204.69610865709245,4.511107973514677,0.10000005352730845,85.0,bim,90.0,gen_list_1,cifar,6820.328338550063,bim0.10.1_succ,1.0,0.0,conv12,0.006624379931219952,20.10495163261471,984.3232187499157,0.14531192073870983,0.48401535518195643,0.0,1.0,0.9878803934136305,0.9598009162235958
3067.0,200.1274928784838,4.400445852583182,0.10000005352730845,85.0,bim,92.0,gen_list_1,cifar,5072.486043856872,bim0.10.1_succ,1.0,0.0,conv12,0.006303360579920744,21.797126147207706,732.2678707186722,0.10662055578940921,0.46108815609237386,0.0,1.0,0.9927163495039113,0.9322669242170637
3066.0,199.151006748688,4.444098348718621,0.10000005352730845,85.0,bim,93.0,gen_list_1,cifar,11213.710995773281,bim0.10.1_succ,1.0,0.0,conv12,0.006429039756863143,21.92444916907013,1613.8767048419663,0.16569769022760691,0.5096646532224539,0.0,1.0,0.9671883300527249,0.9406938371512096
3072.0,204.40000459645307,4.521061683560794,0.10000005352730845,85.0,bim,94.0,gen_list_1,cifar,10856.73390229731,bim0.10.1_succ,1.0,0.0,conv12,0.006653645425313011,21.664445473737484,1566.2641050628038,0.2380921040913958,0.37952453494987254,0.0,1.0,0.9703158964766394,0.9947127563578219
3072.0,208.76276999732443,4.560878576003782,0.10000005352730845,85.0,bim,95.0,gen_list_1,cifar,7521.801763495875,bim0.10.1_succ,1.0,0.0,conv12,0.006771358523779392,21.682456419148387,1085.1402371143517,0.15251310240786842,0.6728177255911669,0.0,1.0,0.9861305141806666,1.0316673803223575
3072.0,205.75295943886627,4.528241195844678,0.10000005352730845,85.0,bim,96.0,gen_list_1,cifar,9402.300412710358,bim0.10.1_succ,1.0,0.0,conv12,0.006674794377521107,21.883182024866738,1354.6523042792583,0.19121219908859519,0.6992192318465128,0.0,1.0,0.9782488420831731,1.0023403354303715
3072.0,204.63533855384472,4.52002293224038,0.10000005352730845,85.0,bim,97.0,gen_list_1,cifar,6508.894703336905,bim0.10.1_succ,1.0,0.0,conv12,0.006650588316399389,21.850330265918178,939.2563911500288,0.14813866837812448,0.13060457080720453,0.0,1.0,0.988955030809529,1.0012921787408071
2345.0,173.11964012904494,4.123062946879879,0.10000005352730845,85.0,bim,98.0,gen_list_1,cifar,5324.70357985127,bim0.10.1_succ,1.0,0.0,conv12,0.005533739604145115,20.259829516536406,768.3574138743695,0.0766236526849755,0.6299921943112619,0.0,1.0,0.9927399180556802,0.8849293296120743
3072.0,189.57061821461895,4.262924531345791,0.10000005352730845,85.0,bim,99.0,gen_list_1,cifar,7016.131881282413,bim0.10.1_succ,1.0,0.0,conv12,0.005915535664046136,21.17141197087316,1011.5474276857406,0.11395922843227922,0.48642260469465803,0.0,1.0,0.9858622796041994,0.960902174400731
3072.0,30.717823709605952,0.5542211889217944,0.010000020849938507,68.0,bim,0.0,gen_list_1,cifar,1043.1406398062716,bim0.010.1_succ,1.0,0.0,conv12,9.998734578446854e-05,40.001637396459735,150.25454470616626,0.02162308481351322,0.9693387492212725,0.0,0.8,0.9996964561853191,0.9986829839201966
